address,twitterHandle
0x1a1caf43f791f4d727257a0ebd79d3f23596b8d7,powerofthenut
0x785ecaead58d1f877a37f3bc30011c17f5bb31d3,ChartShaman
0xd636ddf2da72b73304fcf8c283040c145f68f500,Thrasher_22
0x90b0d6afefb6439d6090999b9fa3fb69c814283d,SolHomie
0x88c74cdb543a8d16614e838518d513258dda023e,nimerahmadkhan
0xb91dc82a46532daff89e58b174720b60960c0d57,ilduettoguy
0x9c8c56e044e6f48284a6fce7468184290292d55f,czverse
0xe7664e7c807af7f7c7708a5d01351c90fcb11ee4,Cryptofung
0x0451b10a1284d8fd1d9288f358bff8aa5e8ba601,monteegeez
0x02e5e81bced3a71cc59ee1cd74576e869c8a5d33,DigiCrypTech
0xa6959ac2415b18959ed5fe95bc2545a5883f58a3,chinaemere65307
0x5fc11bb6d5b6ee9d6f5b37e34a3d88584b9a6b20,Florida__Man__
0x28f07a2decc84f4257c88c2db1cbd93453fa9e21,fullmetalbruh
0x52d8fa3d180bd4c0911ce90e07847e278ce726b8,Giovanisinasce
0xfdb8b9a7fbf9e132cb9c9259c9a53bdf4b03f67c,Nft_Kalkidan
0x661e9287e7e5809778f8ebffeb019ddea3838d13,philcellphone
0x2edfc549f14a1d44e03e4600a3181f5e29998b44,the_viiibe_v2
0xd03f4e652a6a50f18d62098b41c3c70236c142cd,ChopperSats
0xb952fcdad476c7f3ba48b465e73f007d5837a137,Castel7777
0x44437a9afddf0058ac0b12c700895a6287400c24,CUH26992757
0xa0b669f7375234648f534b444fbca71e5fdc4ca8,tisbutascratch3
0x1631d2f959f31c8e6ae63b36a258857f12b153f5,boughtstocks
0x96abe76a789c45b43c4195d9c71b0ed054b174c5,DinoRoars007
0xfce80d308bcf4c8779025930c324902d66cbdab2,mendezbob24890
0x85ed17503bdb74c6f04bca55e9e076cbdbcf79d1,Willy_wonka_ws
0x307eed9f7a3fbe983ef59d68981408a918579259,nonFungibleD
0xf5af19b9b452d92bc2a3d433d6bc98f12d60fa64,satothewise
0x3d562bfb5706e98705c5c9009eb7f7f28a446c4c,PaulinaRez_
0x53c6864fb2d77db3920f5033ab441e9e002ed237,KINGETH22
0x9bf67ccd0441ff2213ac648d4eb310f4cbb99132,pythonomics
0x465dbe4f9d354b000151d69792748f7174d38e97,happymybad
0x2af7d71c09baca9f2a80a7d70de82e198a3d9f78,chiripto2
0xee2112120b1242b17fda88b22218871b9c4c499f,sparkzXBT
0xb4c157fbc41b0ac30d9e9e7413e384717c32ec7a,almostowenmusic
0xd26743148f8faf048728cb4109741d59c5a16f6c,jochimsentim1
0x8fe169dc88b663d8ac9ff2e9b320851b05e15298,0xEazy_A
0xfd7a1f2bdb35d928e537761bba9e8ad76eac822a,HegiTobias
0x7375d45cd8556e725bc8d2e94a9fee2adaaa7171,jasonmdesimone
0x60186cb113fc5bc34b1ce230f40f5e2bda5f1263,iamaboffin
0x9d7e2103ef2197502246c2e3b093b55ca5625ba7,MajorAzshole
0x95a6d006eec99635c1325a646d23717908fba5d5,cryptosuperfly
0x4450f07875bb55bb7964f8c6c9e4875ef0b3e432,Loft_40
0x516dbfe3c555600cbed240a17abd11a25074592e,Bayo0x
0x0dd4ca8ac6e358a63599c1505ddc9dafa11eb0ee,StockLizardKing
0x919b53972179269134b91fb4713bb623edf5e3b9,AlbertBlocks
0xe4f6987595866c313c23985da64887651b04181e,X_Rocketman_
0xfdbdd6bfee1fd9a85cd41ba3a72ac03a9ade8b8a,LilEthereum
0x1e1e48d463a519592248f41abff18396e4c6ecd7,t3x_eth
0xe8046a6d1637c0a0e0f2ffdca31adae474b47274,TedCrawford187
0x335db9fc14db28ad9d5174bdaee053eba71e85c7,tomris444
0xeff9f4320dfa7ad17bfe64eb3f1b0bc1321690e0,BlakeSword1
0x4532b200d3f85b6329089e79322afc815f76ea29,MisakiBNB
0x92fbdad628f687c76e9a2f6ae0f46ed99595ade5,gratefulrecover
0x737f16984489fe2c4bca7ff62099a14c72efbc4e,KingDegenNFT
0x538692ccf6561b261a436662a726a4804042558a,TF109BN
0xbbdd107b62ddeb71b6574771879eaa22a5ff08b0,Bitburn_888
0xfb11bde805724ef383d8e3c5bbbb2e1435103430,Pivot922
0x4bffc0a862c270762b204be54f77c76b52fd182e,fetakii
0x07761cde324203b3caf20494df143fffbedf5d14,eulerdirac
0xe46482932b901eee7a94359ce7fc071da2482226,wssounddesign
0x0ee6281255087a2f6f7df08f4c1646559a463660,Legogio7
0xfa2a3d07ccc2945e61e049b83c22773d61fb7df4,cNovaSpark
0x5fb6865259e8972089ecdc8937e4526a7ce49c85,ItsaRockarena
0x1c7958f4c8431cca4ff9ed7d7712e3ebfa663196,CA_CryptoJunkie
0xcf885df7e455ff535642de8cd600b6307fde11bc,LeKorsaire
0x28e2595e75adb11801cd09db92aadb9116d390a0,R3L1C_0B
0x06d056a196797225f6f9335b54b901fc551532b1,ethereum92
0xb2a85cc94e822a613478872b5cd77415158f2834,BrolyIgn
0xc0940f67aa040022c3e525afbb961b7520e5a823,The_Bogfather
0x8124b3dc13b8293e8d7da898958efcc70d9c0b7f,GeilerGo
0x45df784fb57237ede856315c0b86ce3062bf0cf2,Stevy_Revy_1
0x661181258c62d8e54f4923ed09f4ba734735e2b9,Den74509374
0x565a40eca52d01e752c7fc9273b3f5834438680e,Ace0fTrades
0xced7d8ab549ab1886a9b4135665c18736964a54b,OLGNMMS
0xdc014dcd42ada73eb1b9e95dfdd2d6e4ffc65258,chiknisfuture
0x167f9024958e91d8f0312ebb56f465dc77905a00,koreanjewcrypto
0x6aefbc10054d57eaf8cf69c7fe651638ab6dc58e,letency
0xecbd1d946a81c9b463f0df5d5fa16826da7d3057,south_TOA
0xaa662ff8ebf56ae719b6ac3089956145f757647f,VucaCavu
0xe4319bde45fb5abe0b327e418c0495565909f9ac,AveryBigweapon
0x463025cbd1247685e9f62dadc9fcf4655e49273f,malibuet
0x63bd1da5d9bb00721f26afa4606dfcda31cd62ce,hammertime1115
0xb1e1a8c1258d04a73bf5be7ececae35124f402ef,CarrieReams_v2
0x929a718960066e47a87a4bc09c0219efc4fe1a30,AMikeCMoon
0x038e72a4b2db4351e456460fa8f2602a83f24f53,G_LovesITfood
0x76eb38f95a1f50b231c0fffd4ebe3428a7aca557,jeffpetersen91
0x778e587e20cd0d03f7b3366e3badcc3dea2a1f40,nico_dojo
0xfcec98157cea819b75769d099763e4afe584e238,lildracula28
0x7ed6657e6075ef4cf174702437c306df56cb9ffc,0xMK021
0x450e115b049600af73af0b6b1f6a09a6ab606023,jayxonez
0x2a2f36218ee76e9210ead0cacb01655adde02bd5,KapeTrdr
0xa3cd8eb26286934bcb0dc707695bbdac3803d524,DeBullVader
0xe2b6eb8a18c060cbdec621ac596ce33d58ea8681,DJ_RUSTBUCKET
0x6500a7c051dca9da79c71a4e5375784e105a9424,DocBadTouch
0x046dbaf29f929cdc1c3a8f154968c2da5f994e5d,coinsearchone
0xa563f798fedee424b70b870f6cb72c73a73a35c7,MykePayn3
0xd4085649b7faa55087d20a36d813b4b1c5007a81,m_gunlukleri
0xd0453038a2b5a73abd6b3795fef9a13985a1c9cd,shamwise8
0xb277f1cb784994531ba2179a1c7ea65a62b65184,turkunerv
0x7b0c8f29cf7177794d2a9be288b749c8dfa2a70b,Melmzy
0x47402c8339172d09ff56a02097f40198561fee84,MDarozad
0x4d44986cc2d401a0eca1ccad4e28a9f31a56082b,billythedonkey1
0x99a98418693e67627fdea9c07b01c225c615f634,SolanaPermaBull
0x996f18be8fd2542419754a907c31ba2f0b46218a,CryptoBARONx
0xfafad501eceabe55232f4f5166b53bdf082a5280,Proud0x
0xe0e431aa6e9c1233a8478d1f361d2dad0c95c602,eti9
0x4c2ef3ddfd36110d8733b2efcbe54154ac6a756f,baltcoin
0x8e2e1b22fb474812d92665365d3b9338d3297f04,rhynelf
0x88c8bf4e228b7f1739ab666778787ac94c2cf156,Tractodoteth
0xcae566753bafd2f0de591a589d753ebafd98eb6e,_3omega3_
0x2c28623c3615e9ead9e24be045955a79fc865cca,LazyCrypto
0x084de3f3f83701cc1ef51102f52b9a9f53d3babb,Julius_eth_dev
0xce4100935f4e7a4648fa7992d2dcb4debe07c572,gk_hany
0x91e9545aaa8f67ec92e5d56f163942bd1fd685b5,AdamBroder
0x7f844e5aefcd12215d80a095be36c0de00a4d5d2,evaseta
0xdf55440c2e4bd94ae6a429f9923c5fa210d32fe8,yy00shi
0x9b3099cd9569d970667fe35be1965cc03af266d7,CryptoMatheos
0x10f87b2e9d6133156da96841243e3c3a57d11713,cakirmetin87
0x37f7cf8d1e2f4e32f19fa320ec03276478f866d1,isaac31859155
0xe5c691cc51edbd6d5a9410c0a7bbf7d1bca9b2b4,simplecrypto4
0x8018765b8f3873ebcd11e4962f40483c26001397,cryptolidscom
0x1530a373c811d8fa6e9ad3e9bbd7daea8937a945,mewntrain
0x2bb8544efd81253edb84b1bacf91012e56945646,Credzilla
0x874e4a59a54b373f6e5cecaaeb81ca4cd50de6b8,DrKyro
0x9b4dd33f3734f0fc46070a50d34a7683d2f68839,jt_squared2
0x0a4e87fb7a8e367c60384d2468847229f5855766,Everything_SOL
0x9405dd03f59d569c13edd0b2cdc934e7a2fbea36,AVAX_Gold_Fish
0xdd525d1ac4ca6be4c83c097b60acda0626440462,MagusDala
0xf1f6c02df1c2b259238632109953ad77888c45da,_LeeJohns
0xb2fb6d4de12fc56616649c96c4972712d6286694,ikegochain
0xb5488c90332857d0720979a3a6d2a01419535823,Lumabussines
0xcfe202661a24da93fd882db65db68e647bcead8c,WSBChairman
0x483188e3576b6e3963ac5828e1130d1851ba9aec,boceklrnavukati
0x5941821eaa133ef1258678507ae49a64ee105a93,JrgenDeutschma1
0x5ab30bc5b89083df6de01e076fc756511f5f84ee,SimpleSimon872
0xac10bf429eeb692c263d92800af03b7f28d20a8f,nikolina_011
0x9be471ed7cb05c3b2775af2b896d1035443c96bf,frtn987654321
0xf947fa529633803fea3e8fe1f515aea7ff224a16,DeFinalFantasy
0xd11f044c445ee15a69dc1187bf7c54e773f58839,CIFerdinand
0x529d3ec1e303ad1d087b083e5592dc3b842c52cb,germanbombshell
0xc01bf2a648b5b99d3fe2cb14104e0c0a9297821d,LITS_BIZ
0x91fee085b74174fc30d0d977cfaaf3a5f64475ff,ToneWe5
0x409e7e189fee3af141d3c23e426ff02bb7584b36,xifwel
0x69d9b6c34537752419b59d6c4b39e83c9e1e82d6,JClassicMaestro
0x1183a36e5a75b4d26ffa774c1bc9ef5ebc1038e6,CryptoKaleo
0xcc3cb15d682a221a83a61818505925e2bf159886,Yurii09_
0x730ca559bd013b84caa9c4749ecfad927243b80b,hmmxavier
0x185ddbc28f4957917c0f4c54b2fdbbf197e3e7e7,rektbuildr
0x0157994c7286c8130ee836870882aec11f5c0acb,MiguelSilveira
0xc4203707a8d0090de6cb41ec1c58291fb5ae1dbb,DrSausagesPHD
0xf105f0c7aeaaecdd23af4759648bc42fdca1357d,Daisy5124090684
0x5814a88e239b96738fcab76197bc8533e5b638ff,CryptoDoekoe
0xfbeb9db7035c69f4ce2d85f618ffd377019a5f79,neverlossed
0x8cd8fb3883a1ace27a412c71d3bb7dc5d821a87a,OCriador
0xbf8d39884c2ff5c7cb9235bbff099e01dc935ae1,TheCuriousCake
0xfd96c4586a11fd60654b7fb2710337cc78422a6a,SmallCapScience
0x6aa3718cf09ed007ae8b272f7928fb68897b6141,Iamamystreet
0xd39c1305053a2c842a7aba9c7ecbe7eef759a66b,junkunderground
0x2e77fb14daa46423b66d3c7cde2530b51e8496d2,angel_surfer
0x3571d007a9acc78a2a72bbc3924fe6d93b9f73d2,haboussef
0x8db252de17ccf1d4520e8435e13ec96b55a7aaad,DegentlemanJohn
0x1ea1fdc978aa41ac623d6de410bdb3d2dd293e4a,Berk94708352
0x77879101b7253bb8f7b5cade4dccbf0779940047,mspace67
0x5610f8bd5ad89a915b647bb56fbbfd9f63d5d225,ryan2d970
0x6f9183983357d02b17bc7abc98b9e4dc1cfc3229,fgator79
0x61e058b0162ce4404b62d4c72a1aad7f570654ff,aguilarcodaniel
0xbc6436f453a9ffc14e06eb84f7f5eddd71c7a8c7,AlekFocus
0x55ea03d86ac645f076e219c9694b699dbd459ccc,0xMelissaDoga
0xce4e7dc90a8bcc40f23400384d938d8a0a15d327,axel_yoh
0x4b0f72ea33408ac14c04dfa4292cabad982a1fc8,casssh_design
0xa958df62ac20eb27bac69420d742d0d0f70c707d,facelessavatars
0x4caa2fbdd348e52376a2db05fb29d5a470200db9,DougHype
0x27f505fb15b279368290d2d8414b5a88e9bf67e1,davexpal
0x7a98ccb43fab66a1a663bbf3873d71606b3cadd8,Phoenix_Ash3s
0x9c797819042ce0abf26dcaf70b3133e58cfbc796,shoaib_72
0x44896bf5dae1e2ea0428969e0ae9822135dae2b8,keilyn_kramer
0x35a9f2c95da34f3e61c863a4d16614fc68539616,avedarave_
0x08029a7c0dd2210f4d04a36e864aa51b8a050e79,_dealership
0x8fd4d2aa4f67201a315752dcfe6cc5c5913a2ea8,DaoJonez
0x0c795b94058c21c4b7a8efce38f88d9fb476c69a,sincara_art
0x25ecfcee326adb082ab77707428d79d05b09dfed,0xFrisk
0x4caf1d7a81db5156d6e2fc3eb9e503b7234becdc,jasoncola1
0xe7f7233b3566949482c7180b1caab24e35d4ce08,702Philip
0x90f00fd676c2750f96ff1633d537068405b52321,henry961375
0x6d5fa7a29a9399d6374897f24961572f8fa611ce,startrackerx
0xc5bab7b93146c91923de734f70853469b6a9c0a7,SolNFTs
0xd721c004789b1ba59c1fbeb01d0f40a6ebd90f7b,Roadofthemoney
0x342a6ab08b78839a5791dec55e991580938a8920,jpeggler
0xe28ecfc2a80450835912026b2a3dc2c9325a4b17,CrimsonElep
0xd098ada78f0dc81e2bef15b073e6eb77218c5ba9,allknightlongx
0x7ae6913170a9d7286e2de9ecb0a5552845021ef2,thousandbtc
0x1b85f9fd12e8fcc4fc86ae270d701784bd9b5290,maeda_aaron
0x565e6da7430b9917cab75b27a2d7dc70a88b835f,mepusica
0xe5009d05a45792a9ef1fbd8da53d9248d3bbba9d,ElBru1736
0x205e323071ae55aad9b7cfbb49d3f2ea6762e4eb,iemrehan
0x822ecf641a954d7a96c7c9c4a9ff320ac9eddf25,johndamen
0xa59dbcf08297b0f861d124064edf154971901d26,Ying819
0x0be0c0b2d176d53d6172e70ed74d0d8a6827819d,CryptoBusyBob
0xccb3b2829453b50e8a140bc528b9d5a89e79c57e,FriendoTechies
0x87ba39c5069db5e8c3c3602c1ae7c901265d728d,Awoliwo
0x9d9e2f2582a47760c7d40aa54f57d86f9756c368,iwaschillpill
0x72d8abccae986f7de714d3f14672dd1a3034dfe2,fannel_nft
0xfe9d847ff7a85f5640333253fb81ecf3289c3bd0,ChristophF29776
0x4c1182f1389c819c8e23d77d8ece6d3c88da0ddb,moonshilla
0x65053abcf78f5f3f79617f6202492ba97d55eb51,jamesonchatman
0xdd7b198ef8311801f5e32cde862880959c761f71,nymzo
0x19f99fbc4c0699a3c81ccee4d7ec68038afa54d4,seanonolennon
0x7e156364c7cb9b0f5840656eb460c6e626c884c8,_fiph
0xcf91060e7659eac92b62629cd1b54b65897c8637,Jomari_P
0x4322c9db3a7b6758b1b2f59e747128724aaaa75e,Jesusof06528056
0x31e608c417378d53a2ac1156c0294a4c49e554e7,xahash
0x75c7426b313811446c07f6c9f74bad47e7e08fa9,mannyv_sol
0xce21176cd7771e81477fd6235d49a82f7c637051,NFTGUYY
0x3fdafdfce88f70aed98cef433cdbef3e9eae7c9d,fabshab_
0x0fb50e551558c39d24b89754617b755545ed834a,Crouserrr
0x833652b35d1e1b57f196c6ea68d0613adf789738,0xnacci
0x70f621e0cfcdbbce5f2d4137e5ee25b9e62d4bd7,KyleRiggins
0x28904ef5d6b9be4b6283cfe169780098cf1a4f8c,ThinkingBitmex
0xd76b6616a3a3a6245bbfcfb44a795f5083cefa68,bongobongonft
0xed6473de2b8a6687794a172af0540b4bbd659329,Rafal0x
0xedd85aa641c9e595bbb9fef79a234ffebbe75d30,aNeFThesia
0x26afaac04fa11c83e718337922af04856734c1d0,deepinurSOL
0x143b7d4209650a00cfae43719be1ad9e73eb15f6,0xSeasons
0x245a51c0ef39c920c1dd78759273ef57c9e5d1f3,TheSpotUG
0x6359fbc2f0b89944e66be4e8d9c71c06c351b20b,E_Neb_U_La
0x7f49967beb35aa1290e853733e4d3c118ac6ed90,NCConnois
0xbd3ecfa0f0577552b3a93337c81bb47fb2208867,phillipliujr
0x9cd562fc7e678fe7c755ff83d02eae4e331d6d28,Osama53681
0xa421c4c2685f854d3e9cd7c5316ce1aa1df861af,cryptofacto
0xd204be1bbed4114699cc50e28fe683c3f76410ea,AuralLight
0x08bb79097786b16ba9d16324821970cd187e817e,SolJakey
0x47dc381b29f159000a6774866a9067bdd8d484a0,TradingAloha
0x94c3ef3490608114f1462ef32e03e43d0dcf0306,iAmCryptoKeeper
0x52a69d92abd2e6cc956925c56c820a867e575481,P_bourgogne
0x6d15f42c34a047602fd2dcb3a700f07ec7bbc13b,Lewsiphur
0x7f5b74a164981e39fb97ae2c57850b383214fe71,somakeit1
0x4c8965943a173c5bcb21a8f007cf7074c6157bc2,PacheckDisTweet
0xf424cf939d9190806c42ddf14b290a6c5b713821,NFT_GOD
0x0c713e16b7cbf8a7a8fd25300773ce26208a1b12,Gayonesia
0xce728e28347b3b8cd1dde1deef5ee40b68c80053,ffarid_dj
0x62edce195deb889f258adf951935d13b1b6bf53d,hirtme
0xbccdf2a0b4423f4bb300864e1a2bbbabebc7104c,b9alphx
0x5f81c6fc32f607e0faf63b39853ed63a92a8d160,LieutenantPonzi
0x36c17feffec6fdd9d0b99358edafe42d95b4e674,WenMenDegen
0xd56eb9069145ed154b89cd70947efd70ac1ac6ed,yes2crypto1
0x061a0f58ee122e987a35165fc0038bc85137c214,goFUNKEyourself
0xc2780705ed9fb2d841a22b561b22d22d5a420823,sherlock_hodles
0xbdbe1d20c7f8c007028a54f2e0da6f1750cf39e1,OKcashOrator
0x73f92faf61276467227ad91fc136e9b93ebaa0ad,nobsfud
0xed46b8fe58289159786ee37cfca46b01f20ce4d5,krypto_wurfel
